MQ-5,MQ-135,MQ-2,MQ-3,DHT-11,TD,SCENARIO
0.26,4.19,3.43,0.00,30.70,0.00,Background
0.25,4.19,3.36,0.00,30.70,0.00,Background
0.24,4.19,3.36,0.00,30.70,0.00,Background
0.23,4.19,3.36,0.00,30.70,0.00,Background
0.23,4.14,3.36,0.00,30.70,0.00,Background
0.23,4.14,3.28,0.00,30.70,0.00,Background
0.23,4.14,3.28,0.00,30.80,0.10,Background
0.21,4.14,3.28,0.00,30.80,0.10,Background
0.21,4.11,3.28,0.00,30.80,0.10,Background
0.21,4.11,3.28,0.00,30.90,0.20,Background
0.21,3.09,3.28,0.00,30.90,0.30,Background
0.21,3.09,3.28,0.00,31.00,0.30,Background
0.21,3.09,3.21,0.00,31.00,0.30,Background
0.21,3.09,3.14,0.00,31.00,0.30,Background
0.20,3.09,3.14,0.00,31.00,0.30,Background
0.20,4.04,3.14,0.00,31.00,0.30,Background
0.20,4.04,3.14,0.00,31.10,0.40,Background
0.20,4.04,3.58,0.00,31.10,0.40,Background
0.20,4.30,3.58,0.00,31.10,0.40,Background
0.20,4.30,3.58,0.00,31.40,0.70,Background
0.20,4.30,3.58,0.02,31.40,0.70,Background
0.20,4.30,3.52,0.02,31.40,0.70,Background
0.20,4.22,3.52,0.02,31.40,0.70,Background
0.18,4.22,3.52,0.02,31.40,0.70,Background
0.19,4.22,3.52,0.02,31.40,0.70,Background
0.19,4.06,3.52,0.02,31.40,0.70,Background
0.17,4.06,3.52,0.00,31.40,0.70,Background
0.17,4.06,3.37,0.00,31.40,0.70,Background
0.17,4.06,3.37,0.00,31.40,0.70,Background
0.16,4.06,3.37,0.00,31.40,0.70,Background
0.16,3.96,3.37,0.00,31.40,0.70,Background
0.16,3.96,3.29,0.00,31.40,0.70,Background
0.16,3.93,3.29,0.00,31.40,0.70,Background
0.16,3.93,3.29,0.00,31.30,0.60,Background
0.16,3.88,3.29,0.00,31.30,0.60,Background
0.16,3.86,3.29,0.00,31.30,0.60,Background
0.16,3.86,3.01,0.00,31.30,0.60,Background
0.16,3.86,3.15,0.00,31.30,0.60,Background
0.16,3.86,3.07,0.00,31.30,0.60,Background
0.17,3.86,3.07,0.00,31.30,0.60,Background
0.17,3.81,3.07,0.00,31.30,0.60,Background
0.17,3.81,3.00,0.00,31.30,0.60,Background
0.17,3.81,3.00,0.00,31.40,0.70,Background
0.17,3.76,3.00,0.00,31.40,0.70,Background
0.15,3.76,3.00,0.00,31.40,0.70,Background
0.15,3.74,3.00,0.00,31.40,0.70,Background
0.16,3.74,3.00,0.00,31.40,0.70,Background
0.16,3.76,3.00,0.00,31.40,0.70,Background
0.16,3.71,3.00,0.00,31.40,0.70,Background
0.16,3.71,3.00,0.00,31.50,0.80,Background
0.16,3.71,3.58,0.00,31.50,0.80,Background
0.16,4.27,3.58,0.00,31.50,0.80,Background
0.16,4.25,3.58,0.00,31.50,0.80,Background
0.16,4.30,3.58,0.00,31.50,0.80,Background
0.15,4.30,3.58,0.00,31.50,0.80,Background
0.15,4.25,3.58,0.00,31.50,0.80,Background
0.15,4.25,3.41,0.00,31.50,0.80,Background
0.15,4.25,3.41,0.00,31.60,0.90,Background
0.15,4.22,3.41,0.00,31.60,0.90,Background
0.15,4.22,3.49,0.00,31.60,0.90,Background
0.15,4.19,3.49,0.00,31.60,0.90,Background
0.15,4.11,3.49,0.00,31.60,0.90,Background
0.15,4.11,3.41,0.00,31.60,0.90,Background
0.15,4.11,3.41,0.00,31.70,1.00,Background
0.16,4.11,3.41,0.00,31.70,1.00,Background
0.16,4.31,3.41,0.00,31.70,1.00,Background
0.16,4.31,3.58,0.00,31.70,1.00,Background
0.16,4.31,3.58,0.00,31.60,0.90,Background
0.20,4.31,3.58,0.00,31.60,0.90,Background
0.20,1.95,3.58,0.00,31.60,0.90,Background
0.20,1.95,2.14,0.00,31.60,0.90,Background
0.20,1.95,2.14,0.00,30.40,0.00,Background
0.19,1.95,2.14,0.00,30.40,0.00,Background
0.19,1.92,2.14,0.00,30.40,0.00,Background
